2023-02-21 16:40:41,330 [main] INFO  org.hibernate.dialect.Dialect:175 - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-02-21 16:40:44,989 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-02-21 16:40:45,001 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean:437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 16:40:45,971 [main] INFO  org.mongodb.driver.client:71 - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/19.0.2+7-44"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='root', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@7404aff2]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.sazojlo.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-n22s4x-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-02-21 16:40:46,012 [cluster-ClusterId{value='63f4d7ed71fe2d174d0d8ddd', description='null'}-srv-cluster0.sazojlo.mongodb.net] INFO  org.mongodb.driver.cluster:71 - Adding discovered server ac-vxmqfo7-shard-00-00.sazojlo.mongodb.net:27017 to client view of cluster
2023-02-21 16:40:46,062 [cluster-ClusterId{value='63f4d7ed71fe2d174d0d8ddd', description='null'}-srv-cluster0.sazojlo.mongodb.net] INFO  org.mongodb.driver.cluster:71 - Adding discovered server ac-vxmqfo7-shard-00-01.sazojlo.mongodb.net:27017 to client view of cluster
2023-02-21 16:40:46,064 [cluster-ClusterId{value='63f4d7ed71fe2d174d0d8ddd', description='null'}-srv-cluster0.sazojlo.mongodb.net] INFO  org.mongodb.driver.cluster:71 - Adding discovered server ac-vxmqfo7-shard-00-02.sazojlo.mongodb.net:27017 to client view of cluster
2023-02-21 16:40:46,496 [cluster-rtt-ClusterId{value='63f4d7ed71fe2d174d0d8ddd', description='null'}-ac-vxmqfo7-shard-00-00.sazojlo.mongodb.net:27017] INFO  org.mongodb.driver.connection:71 - Opened connection [connectionId{localValue:1, serverValue:328000}] to ac-vxmqfo7-shard-00-00.sazojlo.mongodb.net:27017
2023-02-21 16:40:46,497 [cluster-ClusterId{value='63f4d7ed71fe2d174d0d8ddd', description='null'}-ac-vxmqfo7-shard-00-01.sazojlo.mongodb.net:27017] INFO  org.mongodb.driver.connection:71 - Opened connection [connectionId{localValue:3, serverValue:337691}] to ac-vxmqfo7-shard-00-01.sazojlo.mongodb.net:27017
2023-02-21 16:40:46,498 [cluster-ClusterId{value='63f4d7ed71fe2d174d0d8ddd', description='null'}-ac-vxmqfo7-shard-00-01.sazojlo.mongodb.net:27017] INFO  org.mongodb.driver.cluster:71 - Monitor thread successfully connected to server with description ServerDescription{address=ac-vxmqfo7-shard-00-01.sazojlo.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=283085200, setName='atlas-n22s4x-shard-0', canonicalAddress=ac-vxmqfo7-shard-00-01.sazojlo.mongodb.net:27017, hosts=[ac-vxmqfo7-shard-00-00.sazojlo.mongodb.net:27017, ac-vxmqfo7-shard-00-02.sazojlo.mongodb.net:27017, ac-vxmqfo7-shard-00-01.sazojlo.mongodb.net:27017], passives=[], arbiters=[], primary='ac-vxmqfo7-shard-00-01.sazojlo.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='GCP'}, Tag{name='region', value='WESTERN_EUROPE'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000001b4, setVersion=8, topologyVersion=TopologyVersion{processId=63efa72c69c4b3445546880c, counter=6}, lastWriteDate=Tue Feb 21 16:40:48 EET 2023, lastUpdateTimeNanos=400468959082300}
